County,Region,Public_Enrollees,PCP_Count,Availability_Gap,Avoidable_Util_Burden,Risk_Index_raw,Availability_Gap_Score,Util_Burden_Score,Risk_Index_Score,Composite_Need_Score,Total_ED,E_TOTPOP,AVG_MC_Enrollees,AVG_MA_Enrollments_2023_FY,RPL_THEMES,OBESITY_age-adjusted_prevalence,DIABETES_age-adjusted_prevalence,CSMOKING_age-adjusted_prevalence,LPA_age-adjusted_prevalence,CHD_age-adjusted_prevalence
Hoke,Piedmont,22890.6667,5.78732,3955.3131232914156,3112.927981563421,0.9744,5.248970690068384e-06,100.0,75.48573022218092,58.49524515705053,71257,52612,18764.6667,4126,0.7778,35.6,13.0,16.6,26.6,6.5
Scotland,Piedmont,20135.6667,6.15996,3268.7977569987866,2122.502250074379,1.2102,4.3318345668245535e-06,68.18346786835667,97.40634005763688,55.1966040859427,42738,34222,15644.6667,4491,0.9798,41.1,14.8,21.3,30.3,7.7
Alamance,Piedmont,74854.25,0.0,74854250000.0,593.0992482978689,0.6115,100.0,19.052777700304965,41.74955842707075,53.600778709125244,44396,171779,51584.25,23270,0.4141,38.0,11.3,17.3,25.8,6.3
Anson,Piedmont,12382.41667,2.22,5577.662654206011,1266.2309104616077,1.125,7.416315271682933e-06,40.67652441562951,89.4859161476248,43.38748265985652,15679,22200,9423.41667,2959,0.899,43.1,13.9,20.1,29.0,6.9
Richmond,Piedmont,26450.25,3.88341,6811.08695422658,1080.292205922734,1.1524,9.064083167898404e-06,34.70341146087721,92.03309472901368,42.24550508465802,28574,43149,21014.25,5436,0.9394,39.8,12.8,19.2,27.8,6.9
Lee,Piedmont,25114.5,15.89,1580.5222416285562,944.593722965071,0.9893000000000001,2.076417518411205e-06,30.344220250500726,76.87087477921355,35.73836570204393,23723,63560,19252.5,5862,0.7879,38.4,11.7,17.2,26.7,6.7
Forsyth,Piedmont,159779.5,1604.02902,99.61135235594968,1120.688191409485,0.8561,9.802498920725473e-08,36.00109601143539,64.48824021567351,33.4964454417113,179063,383739,110686.5,49093,0.6869,31.8,10.6,14.5,22.0,5.7
Montgomery,Piedmont,12499.83333,1.80873,6910.830482808113,835.1310684931294,0.9033,9.19733348917808e-06,26.82783133561919,68.87608069164266,31.901307074865112,10439,25839,9102.83333,3397,0.7071,37.5,11.4,17.1,25.5,6.6
Rockingham,Piedmont,45495.5833,21.89016,2078.3576374792306,810.6501008274774,0.8881,2.7414905049485877e-06,26.04140235908512,67.46304731802549,31.168150806200373,36881,91209,28401.5833,17094,0.6869,37.8,11.8,18.4,25.7,6.9
Guilford,Piedmont,229184.583,2185.20585,104.88008848004867,732.4314623185999,0.8243,1.050636491710452e-07,23.52869923931704,61.532025657711266,28.35357500069732,167862,539557,162601.583,66583,0.6465,33.5,11.0,14.9,23.8,5.7
Mecklenburg,Piedmont,367528.333,10953.25746,33.5542494375409,1124.4303139904312,0.6786,9.777357387336734e-09,36.121308319690165,47.987357069815005,28.036221799760842,413260,1115403,291692.333,75836,0.5152,34.1,10.6,12.9,18.9,5.2
Rowan,Piedmont,65238.8333,66.18015,985.7764346896096,551.6039700298569,0.8536999999999999,1.2818790558023375e-06,17.719779361963337,64.26512968299711,27.328303442279832,35986,147067,45721.8333,19517,0.6667,33.9,11.3,16.8,24.9,6.6
Orange,Piedmont,32953.0,386.68535,85.21915794012067,1829.089860434866,0.3247,7.87980322597557e-08,58.75785984345945,15.087849772241329,24.615236564832937,60274,145919,20692.0,12261,0.1919,26.3,8.7,10.2,16.3,4.9
Stanly,Piedmont,25075.8333,12.5446,1998.9343064797356,936.7584631072474,0.5684,2.635386534863614e-06,30.092519603899564,37.74286511109046,22.611795783458856,23490,62723,17268.8333,7807,0.3838,34.3,10.3,17.5,23.8,6.4
Cabarrus,Piedmont,73998.9167,387.13716,191.14392560212013,1244.3695510968264,0.3892,2.2030605311244582e-07,39.97424798988959,21.083945337919495,20.352731182705046,92082,226396,54044.9167,19954,0.2222,34.6,9.9,12.2,21.4,5.4
